Date,V,TM,PG,PCRFY,INTC,KO,BRDCY,ABNB
27/04/2021,228.8611145,152.8099976,129.5569611,11.94999981,56.84782791,52.37479401,20.39999962,177.9400024
28/04/2021,232.3849487,153.2599945,129.774231,12.09000015,56.50460052,52.38456345,20.51000023,180
29/04/2021,235.7794037,152.4299927,130.8705139,12.07999992,57.15182495,53.03949356,20.52000046,177.6799927
30/04/2021,232.4944458,150.7700043,131.7692566,11.81999969,56.41634369,52.76579285,20.04000092,172.7100067
03/05/2021,231.5487823,152.2299957,133.3297119,11.96000004,56.15157318,53.25454712,20.27000046,168.1100006
04/05/2021,230.9714355,150.5899963,132.8753815,11.78999996,55.79853821,52.92219162,20.07999992,168.8999939
05/05/2021,228.1642914,151.4199982,131.8087769,12,55.7495079,52.78533936,20.31999969,162.3300018
06/05/2021,230.2646637,152.9600067,133.4679718,11.72999954,56.42834473,53.31319809,20.62000084,153.6399994
07/05/2021,231.0610199,153.6499939,133.4778442,11.73999977,56.90195465,53.2838707,20.92000008,151.2100067
10/05/2021,224.9390717,155.0599976,135.9666595,11.77000046,55.22459793,53.67487335,21.11000061,146.7299957
11/05/2021,224.4513092,152.2400055,135.2950897,11.27000046,54.30698395,53.09814835,21.02000046,142.7299957
12/05/2021,219.6234283,153.5200043,133.8630219,10.92000008,52.90589142,52.82444382,20.68000031,140.25
13/05/2021,223.0427551,155.2299957,136.0160522,11.15999985,53.29069519,53.2838707,21.20999908,135.75
14/05/2021,226.2327881,155.8500061,136.3024597,11.19999981,54.61285019,53.49892426,21.29999924,141.1999969
17/05/2021,225.7343445,158.6799927,136.0259247,11.05000019,54.59312057,53.41094589,21.70000076,132.5
18/05/2021,224.8670654,160.6600037,134.6333771,10.89999962,54.10964203,53.11769485,21.56999969,135.0200043
19/05/2021,223.8901062,159.2899933,134.9099121,10.89000034,54.62271881,52.9515152,21.88999939,138.1900024
20/05/2021,225.7343445,160.2200012,136.2925873,11.03999996,55.2048645,53.42072296,22.28000069,136.1999969
21/05/2021,226.0633087,161.1600037,136.2925873,10.86999989,55.3331337,53.39139557,21.89999962,134.7100067
24/05/2021,228.6053772,162.7799988,136.2530823,11.02000046,56.20140839,53.56734848,21.97999954,135.9100037
25/05/2021,228.3063049,162.2400055,136.7172699,11.11999989,56.11260986,53.55757523,21.90999985,133.9900055
