Date,Index,Value
2008-06-01,Yuan,119.4230076
2008-07-01,Yuan,179.1732909
2008-08-01,Yuan,176.7771974
2008-09-01,Yuan,121.3662684
2008-10-01,Yuan,159.6411538
2008-11-01,Yuan,121.0858087
2008-12-01,Yuan,143.4703611
2009-01-01,Yuan,121.3484793
2009-02-01,Yuan,120.914269
2009-03-01,Yuan,120.9708057
2009-04-01,Yuan,150.1589825
2009-05-01,Yuan,150.6586418
2009-06-01,Yuan,161.1628435
2009-07-01,Yuan,161.0947082
2009-08-01,Yuan,121.2010306
2009-09-01,Yuan,161.6511469
2009-10-01,Yuan,165.0238474
2009-11-01,Yuan,121.2720455
2009-12-01,Yuan,171.473995
2010-01-01,Yuan,121.2631641
2010-02-01,Yuan,157.8923461
2010-03-01,Yuan,153.4862594
2010-04-01,Yuan,154.0881217
2010-05-01,Yuan,121.3129167
2010-06-01,Yuan,139.2913922
2010-07-01,Yuan,141.5398592
2010-08-01,Yuan,122.2173014
2010-09-01,Yuan,145.5030661
2010-10-01,Yuan,156.1889621
2010-11-01,Yuan,157.7106518
2010-12-01,Yuan,149.3186464
2011-01-01,Yuan,125.6392746
2011-02-01,Yuan,156.6318419
2011-03-01,Yuan,156.8589598
2011-04-01,Yuan,161.4240291
2011-05-01,Yuan,127.5261861
2011-06-01,Yuan,163.8769021
2011-07-01,Yuan,164.7513059
2011-08-01,Yuan,161.2764025
2011-09-01,Yuan,162.1962298
2011-10-01,Yuan,129.8768531
2011-11-01,Yuan,155.3032024
2011-12-01,Yuan,153.1569385
2012-01-01,Yuan,131.5379727
2012-02-01,Yuan,149.6593232
2012-03-01,Yuan,151.2605042
2012-04-01,Yuan,131.4565173
2012-05-01,Yuan,150.1930502
2012-06-01,Yuan,141.0401999
2012-07-01,Yuan,130.4046498
2012-08-01,Yuan,139.6661367
2012-09-01,Yuan,130.4498543
2012-10-01,Yuan,146.4910288
2012-11-01,Yuan,146.9111969
2012-12-01,Yuan,132.9383239
2013-01-01,Yuan,132.8871126
2013-02-01,Yuan,155.4848967
2013-03-01,Yuan,147.4903475
2013-04-01,Yuan,146.0027254
2013-05-01,Yuan,149.8069498
2013-06-01,Yuan,135.0306628
2013-07-01,Yuan,148.3079718
2013-08-01,Yuan,150.0908471
2013-09-01,Yuan,135.2689367
2013-10-01,Yuan,153.6906655
2013-11-01,Yuan,153.1682943
2013-12-01,Yuan,135.8839267
2014-01-01,Yuan,136.8339283
2014-02-01,Yuan,136.6171617
2014-03-01,Yuan,134.7054995
2014-04-01,Yuan,156.7567568
2014-05-01,Yuan,157.4721781
2014-06-01,Yuan,132.5254918
2014-07-01,Yuan,155.3599818
2014-08-01,Yuan,152.5777879
2014-09-01,Yuan,134.6616786
2014-10-01,Yuan,143.2886668
2014-11-01,Yuan,135.3264245
2014-12-01,Yuan,141.8351124
2015-01-01,Yuan,133.4332592
2015-02-01,Yuan,132.2650733
2015-03-01,Yuan,131.9993622
2015-04-01,Yuan,122.2802635
2015-05-01,Yuan,127.1178742
2015-06-01,Yuan,123.926868
2015-07-01,Yuan,125.8687259
2015-08-01,Yuan,133.3451447
2015-09-01,Yuan,127.9014308
2015-10-01,Yuan,127.1860095
2015-11-01,Yuan,131.0383033
2015-12-01,Yuan,120.5995912
2016-01-01,Yuan,126.710337
2016-02-01,Yuan,123.6429707
2016-03-01,Yuan,123.1773791
2016-04-01,Yuan,129.2868499
2016-05-01,Yuan,127.8847045
2016-06-01,Yuan,126.7885533
2016-07-01,Yuan,126.5614354
2016-08-01,Yuan,126.9134681
2016-09-01,Yuan,127.1178742
2016-10-01,Yuan,124.1508585
2016-11-01,Yuan,125.3917783
2016-12-01,Yuan,120.7585737
2017-01-01,Yuan,118.9938915
2017-02-01,Yuan,122.1667045
2017-03-01,Yuan,119.9636611
2017-04-01,Yuan,120.2783589
2017-05-01,Yuan,123.9155122
2017-06-01,Yuan,127.3449921
2017-07-01,Yuan,121.7786538
2017-08-01,Yuan,133.9881899
2017-09-01,Yuan,134.8853055
2017-10-01,Yuan,124.4344912
2017-11-01,Yuan,131.9327731
2017-12-01,Yuan,135.2486941
2018-01-01,Yuan,127.5458327
2018-02-01,Yuan,141.7442653
2018-03-01,Yuan,138.7235975
2018-04-01,Yuan,131.8627061
2018-05-01,Yuan,136.2707245
2018-06-01,Yuan,132.6254826
2018-07-01,Yuan,124.2496098
2018-08-01,Yuan,132.477856
2018-09-01,Yuan,120.9902524
2018-10-01,Yuan,131.3536225
2018-11-01,Yuan,129.4117647
2018-12-01,Yuan,120.3378005
2019-01-01,Yuan,120.6904092
2019-02-01,Yuan,130.2975244
2019-03-01,Yuan,129.1846468
2019-04-01,Yuan,127.2995685
2019-05-01,Yuan,127.7083806
2019-06-01,Yuan,119.9368372
2019-07-01,Yuan,128.4010902
2019-08-01,Yuan,125.6188962
2019-09-01,Yuan,115.3288942
2019-10-01,Yuan,124.14263
2019-11-01,Yuan,126.8339768
2019-12-01,Yuan,117.6328502
2020-01-01,Yuan,118.8794118
2020-02-01,Yuan,117.9210346
2020-03-01,Yuan,118.9596954
2020-04-01,Yuan,124.1653418
2020-05-01,Yuan,124.892119
2020-06-01,Yuan,126.3116057
2020-07-01,Yuan,127.8560073
2020-08-01,Yuan,118.6120145
2020-09-01,Yuan,135.6915739
2020-10-01,Yuan,133.4544629
2020-11-01,Yuan,123.7537183
2020-12-01,Yuan,136.7136044
2021-01-01,Yuan,128.1559109
2021-02-01,Yuan,137.0656371
2021-03-01,Yuan,136.8839428
2021-04-01,Yuan,133.6815807
2021-05-01,Yuan,127.8629786
2021-06-01,Yuan,139.0074949
2021-07-01,Yuan,134.6468317
2021-08-01,Yuan,128.1182297
2000-10-01,Pound,100
2000-11-01,Pound,97.4789916
2000-12-01,Pound,99.53440836
2001-01-01,Pound,102.0579216
2001-02-01,Pound,106.5637066
2001-03-01,Pound,105.5076084
2001-04-01,Pound,96.76320273
2001-05-01,Pound,101.4876221
2001-06-01,Pound,95.98001363
2001-07-01,Pound,96.5451448
2001-08-01,Pound,99.85237338
2001-09-01,Pound,98.42589438
2001-10-01,Pound,104.0086305
2001-11-01,Pound,102.7027027
2001-12-01,Pound,96.879046
2002-01-01,Pound,98.47359455
2002-02-01,Pound,97.80831251
2002-03-01,Pound,98.25119237
2002-04-01,Pound,100
2002-05-01,Pound,102.9071088
2002-06-01,Pound,99.63884157
2002-07-01,Pound,112.3438565
2002-08-01,Pound,111.7760618
2002-09-01,Pound,106.4735945
2002-10-01,Pound,111.9577561
2002-11-01,Pound,113.2296162
2002-12-01,Pound,105.9965928
2003-01-01,Pound,108.8586031
2003-02-01,Pound,111.7887564
2003-03-01,Pound,107.3594549
2003-04-01,Pound,123.824665
2003-05-01,Pound,127.6175335
2003-06-01,Pound,111.5638842
2003-07-01,Pound,131.5012491
2003-08-01,Pound,127.776516
2003-09-01,Pound,107.2572402
2003-10-01,Pound,132.9548035
2003-11-01,Pound,114.3850085
2003-12-01,Pound,135.7710652
2004-01-01,Pound,121.9897785
2004-02-01,Pound,123.8977853
2004-03-01,Pound,141.1651147
2004-04-01,Pound,140.3361345
2004-05-01,Pound,120.7495741
2004-06-01,Pound,138.6554622
2004-07-01,Pound,138.0649557
2004-08-01,Pound,124.5178876
2004-09-01,Pound,138.3034295
2004-10-01,Pound,140.813082
2004-11-01,Pound,144.6854417
2004-12-01,Pound,151.1242335
2005-01-01,Pound,129.867121
2005-02-01,Pound,147.8196684
2005-03-01,Pound,149.7728821
2005-04-01,Pound,146.4456053
2005-05-01,Pound,129.1925043
2005-06-01,Pound,138.9052918
2005-07-01,Pound,135.7824211
2005-08-01,Pound,138.4851238
2005-09-01,Pound,141.346809
2005-10-01,Pound,119.6456559
2005-11-01,Pound,136.2480127
2005-12-01,Pound,132.8866682
2006-01-01,Pound,118.5962521
2006-02-01,Pound,137.3154667
2006-03-01,Pound,135.1237792
2006-04-01,Pound,118.4940375
2006-05-01,Pound,143.163752
2006-06-01,Pound,145.6279809
2006-07-01,Pound,125.451448
2006-08-01,Pound,145.1056098
2006-09-01,Pound,145.730184
2006-10-01,Pound,128.5247019
2006-11-01,Pound,145.0261186
2006-12-01,Pound,151.2150806
2007-01-01,Pound,134.4872232
2007-02-01,Pound,147.865092
2007-03-01,Pound,149.5911878
2007-04-01,Pound,134.8279387
2007-05-01,Pound,154.4401544
2007-06-01,Pound,152.6232114
2007-07-01,Pound,137.3833049
2007-08-01,Pound,155.3713377
2007-09-01,Pound,137.4105622
2007-10-01,Pound,161.5830116
2007-11-01,Pound,163.9223257
2007-12-01,Pound,140.770017
2008-01-01,Pound,135.0868825
2008-02-01,Pound,168.6463775
2008-03-01,Pound,135.2640545
2008-04-01,Pound,177.3222803
2008-05-01,Pound,175.539405
2008-06-01,Pound,134.0102215
2008-07-01,Pound,179.1732909
2008-08-01,Pound,176.7771974
2008-09-01,Pound,121.6558773
2008-10-01,Pound,159.6411538
2008-11-01,Pound,108.0408859
2008-12-01,Pound,143.4703611
2009-01-01,Pound,98.94378194
2009-02-01,Pound,96.95400341
2009-03-01,Pound,95.3253833
2009-04-01,Pound,150.1589825
2009-05-01,Pound,150.6586418
2009-06-01,Pound,161.1628435
2009-07-01,Pound,161.0947082
2009-08-01,Pound,115.5434412
2009-09-01,Pound,161.6511469
2009-10-01,Pound,165.0238474
2009-11-01,Pound,111.8228279
2009-12-01,Pound,171.473995
2010-01-01,Pound,109.7717206
2010-02-01,Pound,157.8923461
2010-03-01,Pound,153.4862594
2010-04-01,Pound,154.0881217
2010-05-01,Pound,103.8637138
2010-06-01,Pound,139.2913922
2010-07-01,Pound,141.5398592
2010-08-01,Pound,108.3270869
2010-09-01,Pound,145.5030661
2010-10-01,Pound,156.1889621
2010-11-01,Pound,157.7106518
2010-12-01,Pound,149.3186464
2011-01-01,Pound,105.5536627
2011-02-01,Pound,156.6318419
2011-03-01,Pound,156.8589598
2011-04-01,Pound,161.4240291
2011-05-01,Pound,113.7308348
2011-06-01,Pound,163.8769021
